tonnageId,EmploymentStatus,Owners,OpenPort,Operators,CargoType,Comment,ETABasis,OpenDate,ReportType,ReportTimestamp,RepositionRegion,Source,VesselName,Built,DWT,Cubics,LOA,ICE,SternLine,VesselType
6108,,Teekay Corporation,,tanker investments,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,TRYSIL SPIRIT,2012,105276,117288,244,No,,
6011,,Scorpio Group,,Scorpio,CPP,f.o.c.,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,STI EXCEL,2015,74547,86165,219,No,,
6118,,TORM A/S,,torm,DPP,unc.,30.01.20,19-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,TORM MAREN,2008,109672,117936,245,No,,
5959,,great eastern,1-feb,gesco,CPP,ex east / subs ag/east,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,JAG APARNA,2009,74868,83268,228,No,,
6092,,Int. Andromeda Shpg.,,reliance,DPP,,30.01.20,10-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,PINK STARS,2010,115592,123644,249,No,,
6008,,,,,CPP,Ag opts,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,hafnia shanghai,19,74000,84000,,,,
6025,,Colonial Navigation,,byzantine maritime,CPP,,30.01.20,12-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,FOTINI LADY,2004,71864,83992,228,No,,
6076,,China COSCO Shipping,,coscocs,DPP,looking for clean cond,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,RONG LIN WAN,2017,109783,126280,250,No,,
6086,,Ocean Tankers,,xihe holdings,DPP,looking for clean cond,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,OCEAN PEGASUS,2009,108943,124975,246,No,,
5976,,Marwave Shipmgt,,navig8,CPP,ex east,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,LIA,2008,73981,84108,190,No,,
5986,,Prime Marine Mgmt,,prime marine,CPP,f.o.c./subs ag/west oo,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SPOTTAIL,2008,74998,84534,228,No,,
6052,,Mitsubishi Corp,,Maersk,,f.o.c. / subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,AG NEPTUNE,2013,105405,114600,244,No,,
6062,,Aker,,ocean yield,,Unc.berth.sched.,30.01.20,11-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,STI SANCTITY,2016,109999,123393,250,No,,
6036,,,,,CPP,looking cond,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,nordic geneva,09,73000,82000,,,,
6122,,Chandris Group,,chandris,DPP,,30.01.20,10-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,ARETEA,2015,114000,124510,250,No,,
6046,,Scorpio Group,,Scorpio,CPP,,30.01.20,19-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,STI EXCELSIOR,2016,74000,86072,219,No,,
5952,,Zodiac Maritime,,zodiac maritime,CPP,f.o.c.,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,ABBEY ROAD,2013,74500,84500,228,No,,
5962,,Nisshin Shipping,3-feb,straits tankers,CPP,ex east,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,NORD LARKSPUR,2017,74198,83665,227,No,,
6104,,Kuwait Petroleum,,Scorpio,DPP,,30.01.20,23-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,AL DASMA,2014,109719,124683,250,No,,
6105,,TORM A/S,,torm,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,TORM HERMIA,2018,114000,127400,250,No,,
6012,,,,CSSA,CPP,tanjung bin,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,CIELO DI CAGLIARI,2018,74999,87804,228,No,,
6119,,Phoenix Energy Nav.,,heidmar,DPP,unc.,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,PHOENIX HOPE,2008,105585,118231,244,No,,
6022,,BW Group,,bw group,CPP,,30.01.20,15-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,BW YARRA,2017,74189,84041,228,No,,
6073,,Dah Chung Group,,simosa shipping,DPP,poss,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,FS DILIGENCE,2012,108993,122000,250,No,,
5990,,Kristen Marine SA,,gtp,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,ALTESSE,2010,74103,84160,229,No,,
6009,,Expedo Shipping,,straits tankers,CPP,unc.,30.01.20,15-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,NEW CHALLENGE,2005,73965,84357,228,No,,
6019,,China COSCO Shipping,,china shipping,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,BAI LU ZUO,2011,75594,#N/A,229,Yes,,
6087,,Maersk,,Maersk,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,MAERSK PELICAN,2008,109647,122045,245,No,,
5973,,,9-feb,,CPP,ex east / subs/ no SIRE,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,apanemo,2009,75.0,82.0,228.0,,,
6097,,,,,DPP,ex bzl,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,sks tiete,,,,,,,
5987,,BW Group,,bw group,CPP,unc.,30.01.20,11-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,BW RHINE,2008,76564,83687,228,No,,
5997,,Ocean Tankers,,xihe holdings,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,CHAO HU,2008,73589,81303,229,No,,
6033,,Hafnia Tankers,,straits tankers,CPP,ballast ex argentina,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,HAFNIA ASIA,2010,74252,83094,228,No,,
6063,,Scorpio Group,,Scorpio,,Unc.berth.sched,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,STI VENETO,2015,109999,132721,256,No,,
5960,,Dynacom Tankers Mgmt,2-feb,dynacom,CPP,ex Pakistan,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SCIROCCO,2009,73307,84076,229,No,,
6047,,Reederei C-P Offen,,#n/a,CPP,van phong bay,30.01.20,15-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,NAUTICAL DEBORAH,2018,74000,#N/A,228,No,,
6057,,K. G. Jebsen (KGJS),9-feb,jebsen skipsrederi,,unc.berth.sched.,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SKS DOURO,2010,119456,134645,250,No,,
5957,,Mitsui O.S.K. Lines,,straits tankers,CPP,f.o.c. / subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,BREEZY VICTORIA,2007,74998,84736,228,No,,
5963,,Ionia Mgmt SA,3-feb,straits tankers,CPP,"ex wafr, subs",30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,PLOUTOS,2006,73711,84241,226,No,,
6101,,Dah Chung Group,,simosa shipping,DPP,,30.01.20,12-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,FS ENDEAVOR,2012,108994,122000,250,No,,
6106,,Formosa Plastics Grp,,formosa plastics,DPP,unc.,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,FPMC P IDEAL,2012,114406,123047,244,No,,
6116,,TORM A/S,,torm,DPP,subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,TORM HELLERUP,2018,114951,130000,250,No,,
6023,,Chartworld Shpg,,heidmar,CPP,,30.01.20,12-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,MINDORO STAR,2009,73634,84104,228,No,,
6074,,Kyoei Tanker,,nyk line,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,CHAMPION PROSPERITY,2009,114500,121964,244,No,,
6084,,Kyklades Maritime,,kyklades,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,NISSOS HERACLEA,2015,114322,127900,252,No,,
6090,,Scorpio Group,,Scorpio,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,STI SOLIDARITY,2015,109999,127401,250,No,,
6006,,Prime Marine Mgmt,,prime marine,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,FLAGSHIP ORCHID,2012,74577,83789,228,No,,
5974,,BW Group,,bw group,CPP,unc.,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,BW KALLANG,2017,74189,83959,228,No,,
6098,,Petrolimex,,vietnam govt.,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,VAN PHONG 1,2004,105635,122700,248,No,,
5984,,Eletson Corporation,,tsakos,CPP,f.o.c. / subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SALAMINA,2018,109898,82582,236,Yes,,
5998,,Prime Marine Mgmt,,prime marine,CPP,,30.01.20,14-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,LAKE STURGEON,2007,74993,84608,228,No,,
6034,,Hafnia Tankers,,straits tankers,CPP,,30.01.20,11-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,HAFNIA AFRICA,2010,74539,83152,228,No,,
6044,,BW Group,,bw group,CPP,subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,BW TAGUS,2017,74189,83959,228,No,,
6050,,Kyoei Tanker,,nyk line,,hold,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,CHAMPION PLEASURE,2008,105852,113305,241,No,,
6060,,Kyklades Maritime,,kyklades,,ex wafr / poss,30.01.20,10-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,NISSOS CHRISTIANA,2015,114264,127900,252,No,,
5961,,United Arab Shipping,2-feb,straits tankers,CPP,ex paki / subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,UACC IBN SINA,2008,73338,84121,228,No,,
5971,,Nakata Maritime,9-feb,nakata gumi,CPP,ex east,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,MORNING IBIS,2014,79996,91554,219,No,,
6114,,Mitsui O.S.K. Lines,,mitsui,DPP,,30.01.20,15-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,HAIMA,2009,110046,120990,245.5,No,,
6120,,Mitsui O.S.K. Lines,,straits tankers,DPP,,30.01.20,17-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,RAYSUT,2009,99995,123715,244,No,,
6058,,Shpg Corp of India,9-feb,Scorpio,,ex rsea,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SWARNA KAMAL,2010,104903,116342,244,No,,
6068,,Valles Steamship,,valles steamship canada,,Unc.berth.sched,30.01.20,15-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SEAODYSSEY,2017,113176,123753,250,No,,
5958,,Ocean Tankers,1-feb,xihe holdings,CPP,f.o.c. / subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,HONG ZE HU,2007,73972,81291,230,No,,
5968,,Meiji Shipping Co,7-feb,straits tankers,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,MARITINA,2006,74999,84608,228,No,,
6102,,Maersk,,Maersk,DPP,,30.01.20,15-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,MAERSK PROGRESS,2005,109181,117921,245,No,,
6004,,United Arab Shipping,,straits tankers,CPP,ex brazil,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,UACC EAGLE,2009,73410,84013,229,No,,
6010,,BW Group,,bw group,CPP,,30.01.20,17-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,BW COLUMBIA,2007,76565,83687,228,No,,
6117,,,,,DPP,,30.01.20,10-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,aldana,2018,157000,165000,,,,
6020,,China COSCO Shipping,,china shipping,CPP,unc.,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,KONG QUE ZUO,2011,75588,80549,228,Yes,,
6071,,Rizhao Steel,,rising stella investment,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SABETTA,2017,109986,123508,245,No,,
6085,,Scorpio Group,,Scorpio,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,STI SAVILE ROW,2015,109999,127851,250,No,,
5982,,Mitsui O.S.K. Lines,,straits tankers,CPP,unc.,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,LILAC VICTORIA,2011,74998,84278,228,No,,
6095,,SK Holdings,,sk shipping,DPP,,30.01.20,10-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,PRO TRIUMPH,2009,105348,118119,245,No,,
6007,,Tsakos Group,,tsakos,CPP,Guangzhou,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SELINI,2009,74296,82581,228,No,,
6017,,Ocean Tankers,,xihe holdings,CPP,Rsea opts,30.01.20,15-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,DONG TING HU,2007,74032,72276,228,Yes,,
6079,,Reederei Nord,,heidmar,DPP,ex east,30.01.20,18-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,NORDMARLIN,2017,113959,123854,250,No,,
5979,,Grace Management,,straits tankers,CPP,ex east / subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,EVRIDIKI,2008,73711,178370,273,No,,
5985,,,,shell,CPP,if cancelled,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,PACIFIC MARTINA,2018,73496,86067,219,No,,
5995,,United Arab Shipping,,straits tankers,CPP,,30.01.20,12-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,UACC IBN AL HAITHAM,2009,73338,84113,228,No,,
6031,,Ocean Tankers,,xihe holdings,CPP,,30.01.20,11-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,TAI HU,2007,73980,81320,228,No,,
6045,,Tsakos Group,,tsakos,CPP,,30.01.20,17-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SUNRAY,2016,74039,81500,228,No,,
6055,,,6-feb,,,f.o.c. / subs/ idle sire,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,fos athens,2015,105000,117000,,,,
6061,,Nippon Yusen Kaisha,,nyk line,,Unc.berth.sched.,30.01.20,10-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,CHAMPION PRINCESS,2012,105258,118290,244,No,,
5972,,Kristen Marine SA,9-feb,gtp,CPP,subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,ATHIRI,2010,73982,81186,229,No,,
